mode,prob_mean,prob_min,prob_max,ego_step_mean,ego_step_max,ego_endpoint_disp,adv_step_mean,adv_step_max,adv_endpoint_disp
no_collision_s1.0,0.1520886104553938,0.07604887336492538,0.43179333209991455,1.3681972231715918,2.8844468258321285,65.95089161396027,0.713607712648809,2.048599027097225,33.50902312994003
unguided,0.18841133546084166,0.07678790390491486,0.6608505249023438,1.313605735078454,2.6628421302884817,63.061531126499176,0.7201871937140822,1.950033351778984,34.00316169857979
collision_s0.5,0.19083597417920828,0.07717151939868927,0.6639437675476074,1.2955347523093224,2.644213069230318,62.23903772234917,0.7282734429463744,1.9301314111799002,34.46672344207764
collision_s1.0,0.19321144931018353,0.07757047563791275,0.6233090758323669,1.2736366791650653,2.613323651254177,61.048730075359344,0.7387715354561806,1.9290433265268803,35.035513401031494
collision_s2.0,0.21221639635041356,0.07805339992046356,0.6428013443946838,1.2512644305825233,2.564972570165992,59.624500423669815,0.7473552199080586,1.9283620603382587,35.513995945453644
collision_s3.0,0.2367060831747949,0.07813531160354614,0.6678411960601807,1.2269313568249345,2.5131594371050596,58.30049675703049,0.7554966090247035,1.9209516178816557,35.96429634094238
