mode,num_samples,prob_mean,prob_std,prob_min,prob_max,risk_gain_vs_self_ref,ego_step_mean,ego_step_max,ego_endpoint_disp,adv_step_mean,adv_step_max,adv_endpoint_disp,risk_gain_vs_unguided
unguided,32,0.19320854311808944,0.1474934268229887,0.06959693133831024,0.6607471108436584,,1.1330968542024493,2.368059176951647,54.23502314090729,0.6785078151151538,1.678373347967863,31.954047054052353,0.0
vanilla_collision_s2.0,32,0.2238748564850539,0.1735705978953541,0.06964927911758423,0.7431895732879639,,1.0660602590069175,2.309715826995671,50.58906714618206,0.6960698463954031,1.6834816886112094,32.90296679735184,0.03066631336696446
preservation_collision_s2.0,16,0.26556331431493163,0.17770490980418732,0.08447370678186417,0.5521745681762695,0.07715197885408998,137710.40960383043,494984.0356481597,1595317.1715742946,8456.31408400368,152733.05248512328,4203.322203412652,0.0723547711968422
