mode,num_seeds,prob_mean_mean,prob_mean_std,ego_step_mean_mean,ego_step_mean_std,ego_step_max_mean,ego_step_max_std,ego_endpoint_disp_mean,ego_endpoint_disp_std,adv_step_mean_mean,adv_step_mean_std,adv_step_max_mean,adv_step_max_std,adv_endpoint_disp_mean,adv_endpoint_disp_std
no_collision_scale1p0,4,0.16183408809592947,0.00833543846415691,1.223916944814846,0.03813088916782091,3.5664836424402893,0.6927900974379237,57.553117237985134,1.2996273477456861,0.7647346426383592,0.07485519917702316,2.532501701731235,0.6333186480563036,35.35629511065781,3.305455223279902
unguided,4,0.18568530486663803,0.013099487638555537,1.1657065592007712,0.04150506045310752,3.4164569771382958,0.6659996597666179,54.600904028862715,1.7616627614431786,0.7722881441004574,0.07005298564564534,2.51567274145782,0.6285267420485663,35.85173334367573,3.0208459127221015
collision_scale0p5,4,0.21030002867337316,0.015567969563773133,1.1428745603188872,0.04114417084460034,3.36053768126294,0.6308134434733602,53.47105775400996,1.8030923811534343,0.7766867972677574,0.06781034816535508,2.5095260126981884,0.6175984509864728,36.15436599031091,2.9502308009368825
collision_scale1p0,4,0.21972467342857271,0.017873704247141048,1.126714160782285,0.04042861864211769,3.321760263759643,0.6116765302480356,52.650440376251936,1.7339000905172532,0.7792406766675413,0.0649739442113863,2.508571536280215,0.609293147231762,36.3199879322201,2.8197842643142073
collision_scale2p0,4,0.23758062825072557,0.017969052533985553,1.0944332260405645,0.04069649278143101,3.256959370104596,0.5835629335718334,50.881241109222174,1.8788209064924148,0.784126361948438,0.062433982778261635,2.5125826420262456,0.5972024407329571,36.583100935444236,2.6683279086192346
collision_scale3p0,4,0.26720012247096747,0.01939792162111307,1.062857459881343,0.040284868019305996,3.2112251543439925,0.5622290732167574,49.11039215698838,1.9718911780553552,0.7917791339568794,0.061118087333131114,2.530907450709492,0.5907025708040305,37.04596460238099,2.649468275610514
